flight_number,origin_airport,destination_airport,airline
98,ANC,SEA,AS
2336,LAX,PBI,AA
840,SFO,CLT,US
258,LAX,MIA,AA
135,SEA,ANC,AS
806,SFO,MSP,DL
612,LAS,MSP,NK
2013,LAX,CLT,US
1112,SFO,DFW,AA
1173,LAS,ATL,DL
2336,DEN,ATL,DL
1674,LAS,MIA,AA
1434,LAX,MSP,DL
2324,SLC,ATL,DL
2440,SEA,MSP,DL
108,ANC,SEA,AS
1560,ANC,SEA,DL
1197,SFO,IAH,UA
122,ANC,PDX,AS
1670,PDX,MSP,DL
520,LAS,MCI,NK
371,SEA,MIA,AA
214,LAS,DFW,NK
115,LAX,MIA,AA
1450,LAS,MSP,DL
1545,LAX,IAH,UA
130,FAI,SEA,AS
597,MSP,FLL,NK
413,LAS,CLT,US
2392,DEN,MIA,AA
168,PHX,ORD,NK
2211,PHX,MIA,AA
136,ANC,SEA,AS
95,SLC,ATL,DL
298,LAS,IAH,NK
17,LAS,HNL,HA
617,ANC,PHX,US
1528,SJU,EWR,UA
134,ANC,SEA,AS
304,SJU,JFK,B6
451,PBG,FLL,NK
972,PHX,DFW,NK
2459,PHX,DFW,AA
144,ANC,PDX,AS
647,IAG,FLL,NK
1990,SJU,EWR,B6
699,PHX,CLT,US
114,ANC,SEA,AS
668,PSE,MCO,B6
1162,BQN,EWR,UA
1030,BQN,MCO,B6
262,SJU,BOS,B6
2134,SJU,MCO,B6
730,BQN,MCO,B6
768,PSE,MCO,B6
2276,SJU,BDL,B6
602,ORD,PHX,US
695,GEG,SEA,AS
102,HNL,ITO,HA
5467,ONT,SFO,OO
108,HNL,KOA,HA
730,ANC,SEA,AS
206,HNL,OGG,HA
1500,ORD,IAH,UA
1323,MCO,MIA,AA
103,BOS,MYR,NK
7404,HIB,MSP,OO
7419,ABR,MSP,OO
5254,MAF,IAH,OO
480,SEA,PHX,US
1057,DFW,MIA,AA
2454,BOS,MIA,AA
4354,MKE,IAH,EV
425,PDX,PHX,US
89,IAH,MIA,AA
2099,BNA,DTW,DL
4685,BRO,IAH,EV
5583,VPS,ATL,EV
5484,BOI,SFO,OO
7370,BJI,MSP,OO
103,HNL,LIH,HA
5187,BNA,ATL,EV
2859,SGF,DFW,MQ
1201,PHL,IAH,UA
1221,PDX,DEN,UA
1607,SEA,DEN,UA
328,DEN,DFW,AA
5764,SBN,ORD,EV
1279,PHL,MCO,F9
409,ORD,FLL,NK
5460,RDD,SFO,OO
6391,EUG,DEN,OO
1532,SFO,DEN,UA
1167,ORD,DEN,UA
1012,IAD,IAH,UA
2001,BUF,JFK,B6
2807,PWM,JFK,B6
2023,JFK,SJU,B6
4557,CRP,IAH,EV
5241,PIA,DTW,EV
5498,ORD,DTW,EV
6512,FAT,LAX,OO
1577,SMF,DEN,UA
4986,AUS,LAX,OO
727,BOS,BWI,B6
1012,ORD,BOS,B6
824,PHX,DTW,DL
941,MCI,ATL,DL
2079,BOS,DTW,DL
3268,ATL,IAD,EV
4160,JAX,EWR,EV
6285,MFR,DEN,OO
5184,SLC,IAH,OO
6358,IDA,DEN,OO
161,MSN,DEN,F9
4833,MKE,DTW,OO
1119,GEG,DEN,UA
1237,SEA,IAH,UA
1540,DCA,IAH,UA
1433,SAT,DFW,AA
2299,JFK,MIA,AA
721,BOS,PBI,B6
917,BOS,JFK,B6
939,JFK,BQN,B6
1890,DFW,ATL,DL
4646,CHS,EWR,EV
365,MKE,DEN,F9
117,MSP,DEN,F9
2926,CHS,DFW,MQ
2599,DEN,LAX,OO
5482,SBA,DEN,OO
6457,SMX,LAX,OO
218,HNL,KOA,HA
515,BOS,BUF,B6
228,PDX,EWR,UA
641,IND,PHX,US
495,LAX,DEN,UA
507,CLE,IAH,UA
1553,BOS,EWR,UA
403,DEN,PHX,US
446,MCI,PHX,US
1178,AUS,DFW,AA
2410,LAX,DFW,AA
2453,GSP,ATL,DL
2228,MCO,EWR,B6
4555,MCI,IAH,EV
5698,BDL,IAD,EV
3534,ABI,DFW,MQ
4339,RIC,IAH,EV
6204,BFL,DEN,OO
6261,SAT,SFO,OO
5160,OMA,IAH,OO
6224,RDM,DEN,OO
860,FLL,BDL,B6
5230,CID,ATL,EV
526,SFO,DEN,WN
1222,MCO,LAX,UA
1507,TPA,EWR,UA
1094,SEA,DFW,AA
1233,BOS,DFW,AA
115,SYR,JFK,B6
185,ROC,JFK,B6
2519,TYR,DFW,EV
3928,MCI,ORD,EV
3941,LAN,ORD,EV
5976,BUF,EWR,EV
3161,XNA,DFW,MQ
5677,GSO,EWR,EV
224,ORD,LGA,NK
1457,LAX,IAH,UA
1205,EWR,MIA,AA
5547,ONT,DEN,OO
210,MSP,DEN,UA
214,PBI,IAH,UA
247,PHX,IAH,UA
256,RSW,IAH,UA
319,EWR,MCO,UA
374,OMA,ORD,UA
635,SMF,PHX,US
646,OAK,PHX,US
1941,PVD,CLT,US
422,RNO,DEN,UA
544,PIT,IAH,UA
1016,DEN,IAH,UA
4122,BOS,BWI,WN
4822,LAS,BWI,WN
2215,ABQ,HOU,WN
676,PHX,SLC,WN
2787,PIT,FLL,WN
4859,PVD,BWI,WN
597,SFO,ATL,WN
1158,SFO,ORD,UA
1163,MCO,EWR,UA
1188,PDX,IAH,UA
1198,BOS,ORD,UA
1224,SFO,LAX,UA
1296,SAT,LAX,UA
1431,BOS,LAX,UA
1637,SEA,EWR,UA
1735,LAX,ORD,UA
410,IAH,PHX,US
459,MCO,PHX,US
610,SFO,PHX,US
72,DFW,MCO,AA
196,MIA,PHL,AA
304,SLC,DFW,AA
175,DCA,DFW,AA
281,MIA,DFW,AA
233,BWI,MIA,AA
1100,DFW,LGA,AA
1103,LGA,DFW,AA
1028,DEN,ORD,AA
1039,MCI,DFW,AA
1055,MCO,DFW,AA
1180,SFO,DFW,AA
1345,TUL,DFW,AA
1297,LGA,MIA,AA
1411,LIT,DFW,AA
1084,MIA,LGA,AA
1088,LAS,DFW,AA
1534,PDX,DFW,AA
1573,TPA,DFW,AA
1660,SMF,DFW,AA
2204,MSY,MIA,AA
1515,LAX,ORD,AA
2307,OMA,DFW,AA
2363,OKC,DFW,AA
81,SEA,ANC,AS
162,FAI,ANC,AS
200,SEA,SJC,AS
342,SEA,OAK,AS
406,PDX,SJC,AS
477,LAX,SEA,AS
631,PHX,SEA,AS
683,DEN,SEA,AS
699,GEG,SEA,AS
130,RSW,JFK,B6
154,PBI,JFK,B6
353,JFK,PBI,B6
